"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"93","OTU_784","INV",1033,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"23","OTU_172","INV",992,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__Exophiala_castellanii"
"45","OTU_310","INV",944,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Fungi_sp"
"69","OTU_492","INV",924,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_kalrae"
"58","OTU_40","INV",920,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_horticola"
"7","OTU_121","INV",875,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__Trichoderma_koningiopsis"
"61","OTU_422","INV",872,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_antarcticus"
"56","OTU_3868","INV",860,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Sclerodermataceae","g__Scleroderma","s__Scleroderma_albidum"
"51","OTU_35","INV",855,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_amoeboidea"
"12","OTU_139","INV",845,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_gamsii"
